"scharr_date","actdep","latemin","no","station","scharr","has_departed","has_arrived","actarr","actarr_date","schdep","distance","day","scharr_datetime","actarr_datetime","schdep_datetime","actdep_datetime","train_no"
"latemin","day","has_departed","schdep","actarr_date","distance","has_arrived","actarr","station","actdep","scharr_date","no","scharr","scharr_datetime","actarr_datetime","schdep_datetime","actdep_datetime","train_no"
69,1,TRUE,"07:12","13 Oct 2016",1028,TRUE,"08:19","DUA","08:21","13 Oct 2016",54,"07:10",2016-10-13 07:10:00,2016-10-13 08:19:00,2016-10-13 07:12:00,2016-10-13 08:21:00,"11058"
10,1,TRUE,"09:00","13 Oct 2016",1062,TRUE,"09:05","BINA","09:10","13 Oct 2016",55,"08:55",2016-10-13 08:55:00,2016-10-13 09:05:00,2016-10-13 09:00:00,2016-10-13 09:10:00,"11058"
15,1,TRUE,"09:17","13 Oct 2016",1080,TRUE,"09:30","MABA","09:32","13 Oct 2016",56,"09:15",2016-10-13 09:15:00,2016-10-13 09:30:00,2016-10-13 09:17:00,2016-10-13 09:32:00,"11058"
13,1,TRUE,"09:41","13 Oct 2016",1108,TRUE,"09:52","BAQ","09:53","13 Oct 2016",57,"09:39",2016-10-13 09:39:00,2016-10-13 09:52:00,2016-10-13 09:41:00,2016-10-13 09:53:00,"11058"
16,1,TRUE,"09:59","13 Oct 2016",1126,TRUE,"10:13","GLG","10:15","13 Oct 2016",58,"09:57",2016-10-13 09:57:00,2016-10-13 10:13:00,2016-10-13 09:59:00,2016-10-13 10:15:00,"11058"
16,1,TRUE,"10:18","13 Oct 2016",1147,TRUE,"10:32","BHS","10:34","13 Oct 2016",59,"10:16",2016-10-13 10:16:00,2016-10-13 10:32:00,2016-10-13 10:18:00,2016-10-13 10:34:00,"11058"
17,1,TRUE,"10:30","13 Oct 2016",1157,TRUE,"10:45","SCI","10:47","13 Oct 2016",60,"10:28",2016-10-13 10:28:00,2016-10-13 10:45:00,2016-10-13 10:30:00,2016-10-13 10:47:00,"11058"
14,1,TRUE,"11:15","13 Oct 2016",1201,TRUE,"11:24","BPL","11:30","13 Oct 2016",61,"11:10",2016-10-13 11:10:00,2016-10-13 11:24:00,2016-10-13 11:15:00,2016-10-13 11:30:00,"11058"
21,1,TRUE,"11:27","13 Oct 2016",1207,TRUE,"11:46","HBJ","11:48","13 Oct 2016",62,"11:25",2016-10-13 11:25:00,2016-10-13 11:46:00,2016-10-13 11:27:00,2016-10-13 11:48:00,"11058"
25,1,TRUE,"11:44","13 Oct 2016",1223,TRUE,"12:07","MDDP","12:09","13 Oct 2016",63,"11:42",2016-10-13 11:42:00,2016-10-13 12:07:00,2016-10-13 11:44:00,2016-10-13 12:09:00,"11058"
