"number","total_stations","distance_covered","start_time","end_time","journey_days","journey_time","train_type","is_superfast","average_speed","DelayOverall","DelayDiscreate"
"12010",9,491,"14:40","21:20",0,6.66666666666667,"Long Distance",TRUE,73.65,5.5679012345679,0.111111111111111
"12011",6,303,"07:40","11:45",0,4.08333333333333,"Long Distance",TRUE,74.2040816326531,5.13333333333333,0.333333333333333
"12012",6,303,"17:45","21:55",0,4.16666666666667,"Long Distance",TRUE,72.72,6.7,2.16666666666667
"12013",8,448,"16:30","22:45",0,6.25,"Long Distance",TRUE,71.68,16.5633802816901,1.80281690140845
"12014",8,448,"05:00","11:15",0,6.25,"Long Distance",TRUE,71.68,5.73417721518987,1.89873417721519
"12015",10,443,"06:05","12:45",0,6.66666666666667,"Long Distance",TRUE,66.45,16.7840909090909,2.09090909090909
"12016",10,443,"15:45","22:40",0,6.91666666666667,"Long Distance",TRUE,64.0481927710843,19.11,2.99
"12017",8,315,"06:45","12:40",0,5.91666666666667,"Long Distance",TRUE,53.2394366197183,12.625,1.5625
"12018",8,315,"17:00","22:45",0,5.75,"Long Distance",TRUE,54.7826086956522,11.126582278481,1.59493670886076
"12019",9,426,"06:05","13:10",0,7.08333333333333,"Long Distance",TRUE,60.1411764705882,-2.24691358024691,-0.753086419753086
"12020",9,426,"13:45","21:10",0,7.41666666666667,"Long Distance",TRUE,57.438202247191,0.493827160493827,-0.209876543209877
"12021",9,398,"06:25","13:05",0,6.66666666666667,"Long Distance",TRUE,59.7,4.17777777777778,0.111111111111111
"12022",10,398,"13:45","20:50",0,7.08333333333333,"Long Distance",TRUE,56.1882352941176,8.12,1.42
"12023",14,532,"14:05","22:15",0,8.16666666666667,"Long Distance",TRUE,65.1428571428572,17.8770491803279,1.37704918032787
"12024",14,532,"05:45","13:25",0,7.66666666666667,"Long Distance",TRUE,69.3913043478261,19.248,1.056
"12025",8,597,"05:50","14:20",0,8.5,"Long Distance",TRUE,70.2352941176471,14.6944444444444,0.222222222222222
"12026",8,597,"14:45","23:10",0,8.41666666666667,"Long Distance",TRUE,70.9306930693069,10.3650793650794,1.31746031746032
"12027",4,362,"17:30","22:30",0,5,"Long Distance",TRUE,72.4,15.9393939393939,3.75757575757576
"12028",4,362,"06:00","11:00",0,5,"Long Distance",TRUE,72.4,4.16666666666667,0.777777777777778
"12029",8,448,"07:20","13:45",0,6.41666666666667,"Long Distance",TRUE,69.8181818181818,20.2638888888889,2.56944444444444
"12030",8,448,"16:50","23:05",0,6.25,"Long Distance",TRUE,71.68,5.35211267605634,1.09859154929577
"12031",8,448,"07:20","13:45",0,6.41666666666667,"Long Distance",TRUE,69.8181818181818,14.5,1.875
"12032",8,448,"16:50","23:05",0,6.25,"Long Distance",TRUE,71.68,2.71428571428571,0
"12033",4,437,"06:00","11:20",0,5.33333333333333,"Long Distance",TRUE,81.9375,12.9555555555556,1.84444444444444
"12034",4,437,"15:50","20:50",0,5,"Long Distance",TRUE,87.4,11.75,6.34375
"12035",4,241,"07:05","10:35",0,3.5,"Long Distance",TRUE,68.8571428571429,11.2777777777778,3
"12036",4,241,"17:40","21:20",0,3.66666666666667,"Long Distance",TRUE,65.7272727272727,8.42857142857143,3.57142857142857
"12037",7,329,"07:00","12:25",0,5.41666666666667,"Long Distance",TRUE,60.7384615384615,6,0.0612244897959184
"12038",7,329,"16:40","22:10",0,5.5,"Long Distance",TRUE,59.8181818181818,4.87234042553191,0.425531914893617
"12039",8,281,"15:35","21:05",0,5.5,"Long Distance",TRUE,51.0909090909091,4.35,0.625
"12040",8,281,"06:00","11:40",0,5.66666666666667,"Long Distance",TRUE,49.5882352941176,2.05555555555556,-0.416666666666667
"12041",7,561,"14:15","22:25",0,8.16666666666667,"Long Distance",TRUE,68.6938775510204,17.1607142857143,6.69642857142857
"12042",7,561,"05:30","13:35",0,8.08333333333333,"Long Distance",TRUE,69.4020618556701,8.73770491803279,2
"12043",7,398,"07:00","14:05",0,7.08333333333333,"Long Distance",TRUE,56.1882352941176,6.03571428571429,-0.178571428571429
"12044",7,398,"15:00","22:10",0,7.16666666666667,"Long Distance",TRUE,55.5348837209302,-0.48,-0.72
"12045",5,266,"19:15","22:45",0,3.5,"Long Distance",TRUE,76,6,0.166666666666667
"12046",5,266,"12:00","15:25",0,3.41666666666667,"Long Distance",TRUE,77.8536585365854,11.1555555555556,2.46666666666667
"12047",6,299,"09:00","13:45",0,4.75,"Long Distance",TRUE,62.9473684210526,22.7428571428571,3.45714285714286
"12048",6,299,"16:20","21:10",0,4.83333333333333,"Long Distance",TRUE,61.8620689655172,-0.025,0.05
"12049",2,188,"17:50","19:30",0,1.66666666666667,"Long Distance",TRUE,112.8,0.5625,0.5625
