"code","lat","lng","state","fullname","Pin_code","stops","DelayOverall","DelayDiscreate"
"AGCI",22.807706,73.286751,"Gujarat","ANGADI",388245,10,12.752688172043,0.903225806451613
"AGD",24.2341344,78.2171735,"Madhya Pradesh","AGASOD",470113,4,107.657894736842,-9.55263157894737
"AGDL",16.955119,74.9216405,"Maharashtra","AGRAN DHULGAON",416411,4,15.3783783783784,4.83783783783784
"AGE",26.60455,77.462842,"Rajasthan","ANGAI",328031,4,NA,NA
"AGI",26.8128136,94.5241153,"Assam","AMGURI",785683,14,25.6868686868687,0.555555555555556
"AGL",15.4114194,75.0978739,"Karnataka","AMARGOL",580009,4,18.4222222222222,3
"AGM",12.392431,79.102677,"Tamil Nadu","AGARAM SIBBANDI",606802,6,23.7321428571429,3.85714285714286
"AGMN",26.2113618,89.7822801,"Assam","AGOMONI",783335,2,NA,NA
"AGN",21.3612729,80.3747749,"Maharashtra","AMGAON",441902,25,32.9724770642202,2.81651376146789
"AGQ",21.3781081,76.2676236,"Madhya Pradesh","ASIRGARH ROAD",450331,4,64.9210526315789,0.473684210526316
"AGR",23.0633334,74.7375017,"Madhya Pradesh","AMARGARH",457770,10,34.9893617021277,-0.563829787234043
"AGT",26.198506,91.686058,"Assam","AGTHORI",781039,6,4.75471698113208,0.754716981132076
"AGV",21.8926551,87.2700713,"West Bengal","ANGUA",721426,14,23.1869158878505,0.91588785046729
"AGY",24.5986786,83.055854,"Uttar Pradesh","AGORI KHAS",231209,9,36.5510204081633,2.83673469387755
"AGZ",19.0686457,82.1476293,"Chhattisgarh","AMAGURA",494001,2,66.3333333333333,1.33333333333333
"AH",27.181588,77.7579723,"Uttar Pradesh","ACHHNERA JN",283101,50,73.8713235294118,3.4375
"AHA",25.2162448,86.3236382,"Bihar","ABHAIPUR",811112,66,60.1192893401015,1.61928934010152
"AHD",17.5048479,75.9954405,"Maharashtra","AHERWADI",413228,5,17.1818181818182,2.5
"AHH",30.6834478,75.8292457,"Punjab","AHMADGARH",148021,19,29.5882352941176,1.55147058823529
"AHJU",32.0239431,76.7061885,"Himachal Pradesh","AHJU",175032,4,7.81081081081081,4.7027027027027
"AHL",25.7769528,87.8516418,"Bihar","AJHARAIL",855105,6,71.5652173913043,7.39130434782609
"AHLR",26.4685307,83.8242395,"Uttar Pradesh","AHALYAPUR",274001,8,74.3552631578947,2.82894736842105
"AHM",25.2522437,82.5116903,"Uttar Pradesh","AHIMANPUR",221306,6,69.1896551724138,1.18965517241379
"AHN",24.518395,88.0414285,"West Bengal","AHIRAN",742223,12,44.2015503875969,6.51937984496124
"AHO",28.7144517,77.1667601,"Delhi","ADARSHNAGAR",110052,2,16.55,8.25
"AHQ",28.9311906,77.2775745,"Uttar Pradesh","AHERA HALT",250609,22,35.2857142857143,0.647959183673469
"AHU",27.3036999,83.0388415,"Uttar Pradesh","AHIRAULI",272207,6,44.3818181818182,-0.127272727272727
"AHZ",26.379406,81.7996328,"Uttar Pradesh","ADHINPUR",227813,6,79.4561403508772,1.35087719298246
"AI",23.0765327,70.0780344,"Gujarat","ADIPUR",370205,14,72.0375,1.5875
"AIA",27.9599029,76.5645468,"Haryana","AJARAKA",301401,6,79.4576271186441,0.288135593220339
"AIG",27.701386,79.964092,"Uttar Pradesh","ALGAWAN",241124,10,141.567901234568,4.22222222222222
"AIH",29.0477591,77.2712177,"Uttar Pradesh","ALAWALPUR I PUR",250611,20,34.7570621468927,0
"AII",26.4570946,74.6371962,"Rajasthan","AJMER",305001,126,26.1725293132328,-6.82244556113903
"AILM",29.2716878,77.2917795,"Uttar Pradesh","AILAM",247771,20,41.7640449438202,1.74719101123595
"AIP",13.261219,80.2889685,"Tamil Nadu","ATTIPPATTU",600120,4,27.4871794871795,2.43589743589744
"AIPP",13.2494651,80.2996014,"Tamil Nadu","ATTIPATTU PUDU NAGAR.H",600120,2,14.15,0.95
"AIR",22.440602,73.240147,"Gujarat","ALINDRA ROAD",391775,8,23.5810810810811,0.891891891891892
"AIT",25.9020259,79.2280947,"Uttar Pradesh","AIT",285201,24,39.6023391812866,1.97076023391813
"AJ",26.6173607,80.6213297,"Uttar Pradesh","AJGAIN",209831,27,80.9032258064516,0.705645161290323
"AJE",23.1192878,70.0362648,"Gujarat","ANJAR",370110,12,73.5064935064935,21.7662337662338
"AJH",27.6361344,77.558121,"Uttar Pradesh","AJHAI",281502,10,48.3684210526316,3.86315789473684
"AJI",27.6446553,79.9740851,"Uttar Pradesh","ANJHI SHAHABAD",241124,22,111.859550561798,2.8314606741573
"AJIT",25.8597588,72.6775,"Rajasthan","AJIT",344021,2,22.4444444444444,4.05555555555556
